date_time,heart_zone_id,total_minutes
2022-03-15T06:14,FAT_BURN,1
2022-03-15T06:15,FAT_BURN,1
2022-03-15T06:16,FAT_BURN,1
2022-03-15T06:17,FAT_BURN,1
2022-03-15T06:18,FAT_BURN,1
2022-03-15T06:43,CARDIO,2
2022-03-15T06:44,CARDIO,2
2022-03-15T06:45,CARDIO,2
2022-03-15T06:46,CARDIO,2
2022-03-15T06:47,CARDIO,2
2022-03-15T06:48,PEAK,2
2022-03-15T06:49,PEAK,2
2022-03-15T06:50,PEAK,2
2022-03-15T06:51,PEAK,2
2022-03-15T06:52,CARDIO,2
2022-03-15T06:53,FAT_BURN,1
2022-03-15T06:54,CARDIO,2
2022-03-15T06:55,CARDIO,2
2022-03-15T06:56,CARDIO,2
2022-03-15T06:57,CARDIO,2
2022-03-15T06:58,CARDIO,2
2022-03-15T06:59,CARDIO,2
2022-03-15T07:00,PEAK,2
2022-03-15T07:01,PEAK,2
2022-03-15T07:02,PEAK,2
2022-03-15T07:03,PEAK,2
2022-03-15T07:04,PEAK,2
2022-03-15T07:05,PEAK,2
2022-03-15T07:06,PEAK,2
2022-03-15T07:07,CARDIO,2
2022-03-15T07:08,CARDIO,2
2022-03-15T07:09,CARDIO,2
2022-03-15T07:10,FAT_BURN,1
2022-03-15T07:11,FAT_BURN,1
2022-03-15T07:12,FAT_BURN,1
2022-03-15T07:13,FAT_BURN,1
2022-03-15T07:14,FAT_BURN,1
2022-03-15T07:15,FAT_BURN,1
2022-03-15T07:16,FAT_BURN,1
2022-03-15T07:17,FAT_BURN,1
2022-03-15T07:18,FAT_BURN,1
2022-03-15T07:19,FAT_BURN,1
2022-03-15T07:20,FAT_BURN,1
2022-03-15T07:21,FAT_BURN,1
2022-03-15T07:22,FAT_BURN,1
2022-03-15T07:23,FAT_BURN,1
2022-03-15T07:24,FAT_BURN,1
2022-03-15T07:25,FAT_BURN,1
2022-03-15T07:26,FAT_BURN,1
2022-03-15T07:27,FAT_BURN,1
2022-03-15T07:28,FAT_BURN,1
2022-03-15T07:29,FAT_BURN,1
2022-03-15T07:30,FAT_BURN,1
2022-03-15T07:31,FAT_BURN,1
2022-03-15T07:32,FAT_BURN,1
2022-03-15T07:33,FAT_BURN,1
2022-03-15T07:34,FAT_BURN,1
2022-03-15T07:40,FAT_BURN,1
2022-03-15T07:44,FAT_BURN,1
2022-03-15T07:45,FAT_BURN,1
2022-03-15T07:46,FAT_BURN,1
2022-03-15T08:36,FAT_BURN,1
2022-03-15T11:32,FAT_BURN,1
2022-03-15T11:36,FAT_BURN,1
2022-03-15T11:40,FAT_BURN,1
2022-03-15T11:47,FAT_BURN,1
2022-03-15T11:48,FAT_BURN,1
2022-03-15T11:49,FAT_BURN,1
2022-03-15T11:50,FAT_BURN,1
